post_date,sheikh,series_name,khutbah_title,audio_length,location_or_online,series_part
12/22/2025 4:50 PM,حسن بن محمد منصور الدغريري,تأسيس الأحكام شرح عمدة الأحكام,,42:29,جامعالورود,7
12/22/2025 4:59 PM,حسن بن محمد منصور الدغريري,الأفنان الندية - كتاب البيوع باب الوقف -,,19:42,عن بعد,
12/22/2025 5:05 PM,حسن بن محمد منصور الدغريري,الأفنان الندية - كتاب الفرائض,,21:26,عن بعد,
12/22/2025 9:01 PM,حسن بن محمد منصور الدغريري,الملخص شرح كتاب التوحيد,,19:36,جامعالورود,7
12/22/2025 9:41 PM,حسن بن محمد منصور الدغريري,تأسيس الأحكام شرح عمدة الأحكام,,50:34,جامعالورود,6
12/22/2025 9:55 PM,حسن بن محمد منصور الدغريري,الملخص الفقهي,,10:17,جامعالورود من كتاب الصلاة ( ٤ ),6
12/22/2025 10:04 PM,حسن بن محمد منصور الدغريري,تأسيس الأحكام شرح عمدة الأحكام,,29:39,جامعالورود,8
12/22/2025 10:17 PM,حسن بن محمد منصور الدغريري,الأفنان الندية - كتاب الفرائض باب الوصية,,20:31,عن بعد,2
12/24/2025 5:27 PM,حسن بن محمد منصور الدغريري,الملخص الفقهي,,19:29,جامعالورود من كتاب الصلاة (٥ ),6
12/24/2025 5:31 PM,حسن بن محمد منصور الدغريري,الملخص شرح كتاب التوحيد,,8:17,جامعالورود,9
12/24/2025 6:51 PM,حسن بن محمد منصور الدغريري,تأسيس الأحكام شرح عمدة الأحكام,,21:52,عن بعد,2
12/28/2025 6:51 AM,حسن بن محمد منصور الدغريري,مختصر السيرة النبوية,,37:49,جامعالورود,2
12/28/2025 6:57 AM,حسن بن محمد منصور الدغريري,تنبيه الانام على ما في كتاب سبل السلام من الفوائد والأحكام,,1:11:42,جامعالورود,2
12/28/2025 7:02 AM,حسن بن محمد منصور الدغريري,التفسير الميسر ( سورة الطارق ),,6:31,,5
12/28/2025 7:17 AM,حسن بن محمد منصور الدغريري,التعليقات البهية على الرسائل العقدية,,1:04:56,جامعالورود,9
12/28/2025 7:23 AM,حسن بن محمد منصور الدغريري,المورد العذب الزلال,,26:55,جامعالورود,7
12/28/2025 7:50 AM,حسن بن محمد منصور الدغريري,إرشاد الساري شرح السنة للبربهاري,,45:09,جامعالورود,3
12/28/2025 7:46 PM,حسن بن محمد منصور الدغريري,الملخص شرح كتاب التوحيد,,9:14,جامعالورود,
12/28/2025 10:05 PM,حسن بن محمد منصور الدغريري,تأسيس الأحكام شرح عمدة الأحكام,,54:29,جامعالورود,9
12/30/2025 6:52 AM,حسن بن محمد منصور الدغريري,الملخص الفقهي,,10:30,جامعالورود من كتاب الصلاة (٦ ),7
12/30/2025 6:57 AM,حسن بن محمد منصور الدغريري,تأسيس الأحكام شرح عمدة الأحكام,,53:49,جامعالورود,10
12/30/2025 7:07 AM,حسن بن محمد منصور الدغريري,الأفنان الندية - كتاب الفرائض باب أنواع الإرث,,46:49,عن بعد,3
12/31/2025 8:49 AM,حسن بن محمد منصور الدغريري,الملخص شرح كتاب التوحيد,,11:27,جامعالورود,
12/31/2025 8:56 AM,حسن بن محمد منصور الدغريري,معارج القبول شرح منظومة سلم الوصول,,18:49,عن بعد,6
12/31/2025 8:04 PM,حسن بن محمد منصور الدغريري,الملخص الفقهي,,19:26,جامعالورود من كتاب الصلاة (٧ ),8
1/1/2026 6:49 AM,حسن بن محمد منصور الدغريري,تأسيس الأحكام شرح عمدة الأحكام,,21:04,عن بعد,3
1/3/2026 9:53 AM,حسن بن محمد منصور الدغريري,مختصر السيرة النبوية,,36:09,جامعالورود,2
1/3/2026 5:12 PM,حسن بن محمد منصور الدغريري,التحفة النجمية بشرح الأربعين النووية,,44:10,جامعالورود,3
1/3/2026 5:32 PM,حسن بن محمد منصور الدغريري,تنبيه الانام على ما في كتاب سبل السلام من الفوائد والأحكام,,46:17,جامعالورود,3
1/3/2026 8:35 PM,حسن بن محمد منصور الدغريري,,,,,
